accession_id,phenotype_value
6192,63.0
7377,59.75
6021,87.0
9901,102.5
9826,73.0
10010,75.25
9399,91.0
1853,69.33333333
6109,99.0
630,58.75
9527,76.5
9391,64.5
9642,86.0
6102,103.5
9879,59.5
6975,47.25
9128,61.0
9442,113.25
2016,69.75
5757,66.66666667
9690,81.66666667
9131,63.5
6009,113.5
8243,68.25
7273,43.66666667
9611,68.0
6088,128.0
9598,91.0
9655,71.66666667
9976,72.5
8419,58.75
9451,113.6666667
7305,51.5
7322,51.75
9849,99.66666667
9903,108.75
9111,89.25
9549,106.6666667
6099,113.6666667
6125,100.0
9103,82.75
9646,55.25
6016,83.5
6150,101.6666667
9653,52.5
5800,39.0
6240,125.6666667
9974,93.5
9587,101.75
8376,104.0
7384,65.75
9892,84.5
424,68.25
6173,101.0
7109,45.75
9567,103.5
9706,78.66666667
6201,103.0
7282,37.5
9667,107.0
9560,53.75
9775,44.25
9569,96.5
9557,112.0
9721,78.0
9672,90.5
9664,109.6666667
159,56.75
9757,93.0
9801,36.33333333
9571,35.25
8354,58.75
9811,45.0
9658,66.5
9794,44.5
9949,61.5
9816,39.0
9729,79.0
9600,73.0
9323,80.75
9388,137.0
9078,104.25
1062,68.25
7328,51.33333333
6085,128.0
7077,44.33333333
9671,95.0
9659,66.66666667
9839,115.0
9637,82.5
9134,64.5
7014,74.0
9634,98.0
9854,40.66666667
9561,92.0
9764,62.75
10002,42.5
9836,128.5
9777,43.5
6968,91.33333333
10008,73.0
9314,60.0
7164,59.25
9758,73.0
9450,78.5
9528,89.5
9554,104.25
6142,107.5
9677,110.5
7203,44.5
9927,73.25
9540,88.25
5950,65.5
9057,67.5
7008,95.0
9105,78.75
9531,92.0
9786,40.25
7026,45.5
7138,68.5
1954,101.0
9867,101.6666667
7250,37.75
9413,75.0
9902,110.3333333
7161,39.33333333
6218,137.0
7061,64.0
7165,43.5
410,65.25
9380,98.25
9930,68.66666667
6036,86.33333333
9969,69.25
9812,45.75
9762,72.75
7068,56.0
7404,41.33333333
7349,52.75
9620,74.33333333
1257,93.25
7013,38.75
10001,49.5
9517,35.75
7213,40.0
5104,40.75
9909,57.0
6434,40.0
9699,63.66666667
5772,49.0
9543,89.66666667
9814,48.33333333
9798,44.66666667
1829,99.0
6074,85.75
9918,90.0
9726,56.5
9507,46.66666667
5720,63.33333333
9725,56.5
9595,66.75
9898,97.25
8259,65.5
9728,77.75
9968,57.75
9908,46.5
9915,75.5
991,106.75
10012,105.6666667
9803,41.25
9545,101.0
6105,87.66666667
5822,111.0
8311,59.25
8387,48.33333333
9530,123.0
9599,90.25
9774,43.0
765,36.66666667
7207,49.75
6100,108.3333333
9864,57.25
7354,108.3333333
9807,43.0
9988,112.3333333
9353,134.0
9676,89.0
9824,143.0
9592,100.0
7181,97.0
9945,110.0
9834,63.75
9874,56.25
7133,46.25
7917,68.75
9899,58.0
9510,55.75
9585,32.0
6038,77.25
6909,38.0
9822,62.33333333
9894,76.66666667
6296,47.0
6963,64.25
9454,138.0
6172,114.0
9799,50.5
6140,103.25
9503,53.5
9955,73.0
9596,61.0
9643,79.0
9850,83.0
9835,69.75
6034,80.5
6188,53.5
763,39.0
9622,81.66666667
9579,79.25
5210,78.0
5165,81.75
9421,103.0
7158,47.75
9427,119.5
9840,120.5
6030,129.0
6198,92.5
7192,42.0
9920,48.66666667
9455,102.75
10015,51.25
7186,49.75
9880,87.5
5151,73.66666667
6145,111.5
9970,81.75
9602,75.33333333
8239,42.5
9917,54.25
9476,126.3333333
9722,108.0
772,43.5
350,51.5
9780,45.75
8238,52.25
6241,117.5
9787,49.33333333
6035,73.75
9619,83.0
7353,70.5
7199,37.0
9761,58.0
9698,74.5
9395,118.25
9831,88.25
430,55.0
7947,81.5
1254,106.0
9535,89.0
7350,52.0
9947,125.0
9352,134.3333333
9928,77.0
9828,78.75
9509,59.0
9680,59.33333333
7430,42.25
9813,45.5
7298,53.25
9895,71.0
9696,76.75
7415,45.25
6184,103.6666667
9793,63.33333333
6901,117.0
6413,95.0
8386,49.0
7209,45.25
6180,41.25
9683,71.75
9999,54.25
7106,44.5
6039,62.0
9701,82.0
9369,71.25
6090,105.0
8337,72.5
5921,55.75
9697,63.0
9932,76.0
7223,54.75
8307,64.25
8240,83.0
9870,111.0
7413,48.0
6122,90.0
9755,82.0
6974,125.25
6990,60.25
6258,126.6666667
8424,80.0
7416,78.66666667
88,50.5
9957,85.0
9781,41.66666667
9407,75.0
9621,90.5
9888,96.66666667
6992,54.25
8343,59.75
6098,105.0
6970,50.25
9737,63.66666667
7378,52.0
9979,68.5
1063,64.25
5779,67.0
9810,42.25
8326,58.0
9382,110.6666667
9959,78.75
7067,42.25
10004,79.0
6169,113.5
9583,89.5
10013,100.0
9562,83.5
8290,44.25
5276,49.75
9524,99.66666667
7268,43.66666667
9514,83.33333333
9890,94.33333333
1872,82.5
8247,94.66666667
9694,74.25
9960,66.66666667
9114,100.5
9511,55.0
9852,67.33333333
7092,54.25
6989,61.0
9533,79.0
5644,46.25
9529,63.0
9629,74.66666667
7063,51.0
9731,66.0
9628,69.25
6177,105.5
9386,107.75
992,100.0
6217,127.0
6136,84.5
6210,125.0
9641,87.66666667
9819,98.5
9875,44.75
4900,50.25
7177,45.25
7477,52.25
7255,47.33333333
9950,86.25
6023,89.25
9125,69.25
7107,50.75
8420,47.5
6148,105.6666667
915,43.5
6997,56.0
9392,59.0
8236,64.66666667
6071,139.5
9848,98.0
7236,47.5
6967,42.0
9866,118.0
7202,40.75
9106,87.5
6284,131.5
10009,77.75
139,52.75
9971,61.0
9939,60.75
9797,46.5
9942,110.6666667
5253,38.0
9577,123.5
7119,41.0
5893,64.25
7163,44.0
801,88.25
9791,38.33333333
5353,62.5
9869,80.75
8249,88.0
9795,38.25
9532,108.6666667
9747,94.66666667
8366,62.75
9929,88.0
7372,54.5
1890,75.75
6124,106.0
9686,88.0
9732,88.25
9556,65.0
7382,40.0
4884,49.5
9851,144.0
9582,93.75
9730,97.0
9853,35.5
9085,101.0
870,62.25
7258,43.5
9099,112.6666667
9371,145.0
9783,66.33333333
9868,68.66666667
7332,43.5
9887,90.75
9860,64.33333333
7130,78.25
9404,78.75
7102,71.0
6112,76.75
6153,116.0
6024,116.0
6744,47.25
7373,54.75
9973,110.0
6244,108.25
9660,40.0
9657,48.0
9900,50.0
6981,43.0
5741,88.5
7096,40.25
9636,141.0
9710,83.25
7314,42.25
8369,94.66666667
9537,56.0
428,59.0
6203,119.6666667
4826,51.0
9705,67.0
8233,69.25
9113,70.25
9733,83.75
9871,117.6666667
9962,71.75
6237,109.0
6076,110.5
8246,76.5
9938,74.0
9095,113.3333333
9649,67.25
7094,43.25
9541,61.5
9984,56.0
9522,60.33333333
9837,64.25
9568,109.5
9766,39.5
7072,62.0
7071,45.0
10020,48.0
9841,68.0
5577,51.0
9523,84.66666667
9723,68.5
9405,95.5
7217,38.0
6987,47.75
9091,97.5
9935,73.75
7064,66.66666667
9825,63.5
7276,49.25
9937,47.75
8351,97.5
9067,130.0
9630,79.5
6986,43.75
7208,46.0
7296,62.5
9687,83.33333333
7516,117.0
9651,49.66666667
6073,96.5
9520,120.5
7002,59.0
9978,94.5
9632,90.33333333
6126,89.0
6106,94.75
9678,87.0
7347,47.0
9985,63.5
9588,79.33333333
9982,79.25
9594,110.6666667
9963,66.66666667
9551,123.0
9756,73.0
9609,51.0
9873,55.66666667
9789,42.25
8285,51.66666667
6268,128.6666667
9691,72.75
9776,57.5
6900,121.5
6020,87.25
7394,41.75
9402,78.75
9933,49.0
997,87.5
9581,118.5
9905,95.0
9638,87.66666667
7396,51.5
6128,113.0
1317,102.0
9343,88.0
9998,46.25
9645,66.25
9547,70.0
6094,92.66666667
9539,91.25
8241,66.25
9966,80.0
9972,58.75
8365,39.5
9590,50.5
9606,41.0
7356,64.33333333
9749,63.75
6238,124.0
9736,81.0
9521,68.0
9785,45.25
9983,58.5
9951,109.6666667
9633,77.0
9565,72.33333333
9953,93.25
9100,74.0
9990,75.0
9089,125.5
9846,119.6666667
9820,55.75
9883,41.75
6111,93.66666667
7427,91.5
6041,51.5
7125,42.75
9804,45.75
4807,87.5
9823,42.0
7162,42.75
10006,131.5
9703,69.75
9121,102.0
9079,102.0
9708,85.0
6149,99.0
6189,56.66666667
9858,123.5
7419,43.25
6202,128.0
9878,116.0
6017,104.0
9717,93.33333333
9843,58.66666667
9433,137.0
7307,72.33333333
9617,66.0
9624,74.33333333
9081,99.66666667
7344,47.66666667
351,65.33333333
7517,113.75
9986,86.0
9544,53.5
9941,42.5
6174,128.0
9832,90.33333333
6132,102.5
5837,55.25
6193,54.5
6134,100.3333333
9876,74.75
9640,80.75
9782,44.5
5349,97.33333333
2276,84.25
9069,90.75
7287,48.25
7025,52.66666667
1925,89.5
9453,129.5
7383,38.0
9768,54.66666667
8237,98.75
9593,109.0
8422,116.25
9656,89.0
1158,88.0
9616,110.75
9911,44.5
9778,49.25
7036,50.5
5831,93.0
9735,74.0
9995,41.75
7000,54.0
9886,57.0
9800,42.5
5865,101.0
768,78.25
7117,36.5
5023,43.75
9771,44.25
9597,60.66666667
7218,51.25
7103,36.75
7343,51.25
9130,63.25
5726,48.0
9506,69.0
6221,110.0
6118,99.25
6131,137.0
9075,98.25
6069,139.0
8132,67.33333333
6133,91.75
9720,104.0
9709,73.5
9997,51.5
9513,63.33333333
8297,79.0
7288,70.25
7127,45.5
9845,65.0
6137,87.75
9631,140.0
6070,119.3333333
9741,71.5
9534,65.66666667
8234,92.75
6390,61.33333333
9861,114.5
9613,71.66666667
108,52.25
9669,86.0
9856,63.5
6086,100.75
7306,49.75
4779,50.25
8256,45.25
9788,38.33333333
9670,112.5
9707,72.75
9558,114.6666667
6151,103.3333333
9508,60.66666667
9859,83.0
9518,87.5
8264,63.5
7424,35.5
766,41.75
9336,66.75
9924,57.0
9610,69.5
8312,52.0
7147,52.66666667
9584,85.5
9981,55.5
9991,92.75
9525,81.25
9759,58.5
9904,114.6666667
9784,43.5
9559,66.5
7460,37.0
9862,53.75
9857,66.5
6011,112.5
7231,45.33333333
9084,114.25
6046,117.0
9739,68.5
5768,85.0
9790,41.75
5784,69.25
9738,73.75
9855,61.66666667
9635,84.66666667
6220,117.3333333
8222,93.25
1061,94.75
9321,140.0
9716,122.0
7126,97.25
8335,92.25
7244,46.0
9608,45.25
9412,64.0
9648,61.0
9770,44.75
9515,51.25
8230,103.0
9133,68.0
