accession_id,phenotype_value
9895,63.0
6975,41.75
5741,85.25
7094,37.5
9628,60.0
9703,59.75
7307,66.0
8256,40.5
6064,130.0
428,53.33333333
6221,126.5
4826,46.66666667
9699,58.0
8222,88.25
9111,82.0
6046,121.3333333
9864,46.25
9953,85.25
10006,123.0
10020,42.0
8244,52.5
9932,74.5
9078,101.25
9645,62.75
7092,51.5
6132,90.5
9976,66.33333333
9520,114.75
9832,82.66666667
6136,79.25
9759,52.5
7071,40.75
7068,51.5
10022,39.25
9633,69.0
5768,81.0
10008,65.33333333
9519,61.0
9716,116.0
9394,104.25
7213,38.75
6986,40.0
9510,48.75
9929,75.25
7063,43.66666667
9820,53.25
7273,37.0
9930,61.0
8343,55.0
9058,129.3333333
9622,74.66666667
6984,42.25
7207,45.5
7288,62.0
9683,68.5
7477,43.75
9646,46.25
6102,104.3333333
9513,60.0
7000,46.25
9973,104.0
9625,95.0
8264,56.0
6092,88.0
9579,72.0
7346,52.0
9978,90.5
9584,81.0
6020,84.0
9589,72.0
9958,73.5
8231,102.3333333
6041,46.0
9600,59.0
9869,65.5
9785,39.75
8284,64.75
6255,143.0
9686,78.5
9771,38.75
6744,40.75
6012,120.5
7387,36.75
9390,49.75
9927,68.0
139,49.75
9567,95.0
9903,101.25
9749,58.25
7394,37.75
6126,82.33333333
1062,61.5
9339,105.5
9988,107.75
9640,75.0
9544,48.5
6071,131.0
9535,82.5
8239,37.5
9962,66.5
9968,49.25
8357,49.0
9581,112.0
9598,84.33333333
7354,100.0
9733,76.0
6237,101.0
9729,95.0
9518,78.5
9781,38.33333333
9975,78.0
9946,47.0
9627,80.5
9554,92.75
9945,99.5
9091,90.25
9985,58.0
8369,77.5
9840,110.0
9817,57.5
9876,63.5
6111,85.0
7424,31.0
6023,78.0
7120,37.0
9800,39.75
4807,81.75
9816,36.0
7161,35.33333333
10001,45.25
9522,55.66666667
9100,65.75
8376,95.5
9692,65.5
6134,94.33333333
6189,52.33333333
9854,36.66666667
7418,40.25
6169,110.0
9870,103.3333333
6011,106.5
9711,75.75
9836,123.5
9427,114.0
7306,43.5
9611,67.5
9619,77.0
6901,112.3333333
9069,83.0
7343,43.0
351,59.0
6968,87.0
9979,62.0
9541,57.0
9935,65.5
6148,98.0
9827,56.0
6118,94.25
5151,67.5
6193,48.75
6125,99.0
9867,96.25
9632,83.33333333
9778,45.5
5349,85.33333333
2276,79.5
8234,90.25
7282,34.0
7014,74.0
1925,82.5
9451,110.75
7382,34.25
9761,54.75
7255,44.66666667
9585,26.5
8420,40.75
9649,62.0
932,64.0
9610,62.0
9902,107.0
9774,37.0
7031,40.75
5831,91.0
9728,71.75
9987,67.25
6997,48.5
9880,79.0
9796,43.5
5865,95.0
9408,113.75
768,71.25
7109,42.0
5023,38.75
9766,35.0
9586,112.0
7217,32.25
6276,130.0
7342,61.5
9085,95.5
5726,44.75
9476,114.6666667
6202,114.0
6100,92.0
6112,69.75
9070,83.75
6030,124.0
8077,51.75
6124,95.0
9712,73.5
9704,63.33333333
9993,109.0
9433,131.0
8290,39.0
7287,41.0
7126,82.75
9839,106.0
6128,109.6666667
9624,61.66666667
6034,72.0
9736,74.75
9481,113.6666667
7103,32.25
6296,43.5
9856,55.75
9608,40.25
108,49.0
9665,80.33333333
9849,86.66666667
6086,94.25
7305,42.25
4779,45.0
7430,38.0
9784,39.0
9663,64.66666667
9701,75.0
9555,92.75
6151,101.3333333
9506,61.25
9855,56.66666667
9515,45.0
7517,110.75
7419,38.75
766,36.25
9332,121.0
9917,47.25
9602,66.75
8311,52.25
7143,38.25
9559,57.5
9957,80.5
9986,102.0
9454,135.5
9747,87.66666667
9892,79.5
9780,39.75
9540,81.75
7427,87.5
9857,62.0
9679,74.5
9850,76.66666667
5830,70.0
7223,51.5
8249,82.25
6024,103.75
9735,65.5
1872,77.75
9786,35.5
5784,60.25
9731,71.25
9846,110.5
9596,54.5
6195,52.25
8132,56.66666667
1061,86.5
9314,56.75
9709,69.0
7125,39.75
8334,51.25
7236,41.75
9599,81.75
9380,90.25
9644,64.5
9764,58.5
9511,50.0
6973,39.5
9131,57.25
10010,70.0
7002,54.0
10012,101.3333333
9669,76.0
6194,81.25
9562,74.0
6115,70.5
9707,64.0
9416,116.0
7333,35.5
9721,73.0
6982,42.0
9938,68.0
1002,84.75
6025,143.0
5993,55.5
6390,55.66666667
8297,75.25
9626,63.25
9680,55.66666667
6243,40.0
