accession_id,phenotype_value
403,44.5
5748,31.0
8326,49.5
9719,47.75
9512,30.25
9627,76.0
6192,51.5
9819,70.0
7404,31.75
9902,101.6666667
9841,57.33333333
9826,63.0
9404,69.0
1853,57.66666667
6109,90.0
630,47.0
9762,56.5
9395,97.0
9648,52.5
9862,41.75
9657,38.33333333
6974,110.0
9298,34.75
9938,63.0
2016,60.25
5757,54.66666667
9698,62.0
9312,47.5
9939,51.5
8259,55.5
7268,31.75
6107,97.5
6088,110.0
8354,47.5
9571,25.25
6202,108.25
8237,88.75
9455,94.0
10015,41.0
7298,42.5
7320,63.75
6046,116.0
10022,34.75
9128,51.66666667
9524,87.0
9852,51.5
9943,51.25
7373,43.0
9125,59.0
9653,43.25
9694,62.75
6173,100.25
9661,33.0
5800,29.33333333
9442,99.25
9904,102.5
9932,70.25
9559,53.25
9812,35.75
9783,56.66666667
424,57.75
9321,122.3333333
7107,40.5
9582,81.75
9717,88.25
6201,92.5
7280,36.5
9681,84.5
9917,42.5
9639,64.0
6973,35.0
9079,94.5
9803,29.75
9911,34.5
9828,68.25
9942,99.0
9633,74.0
9918,67.25
9821,61.5
9687,74.0
9593,87.75
6255,139.0
7377,49.0
9962,62.5
6241,111.6666667
7322,42.75
6085,112.5
7072,52.75
9561,104.0
9667,90.0
9057,56.75
9642,74.25
9843,49.66666667
7013,28.0
6237,95.66666667
6013,85.0
9589,70.25
9777,32.5
10012,96.0
932,60.0
1062,57.5
6074,81.25
9630,67.25
9905,76.0
7163,30.5
9772,30.5
6138,77.25
9531,81.25
9565,61.5
6142,92.25
9679,69.25
7202,27.75
8312,42.75
9547,59.75
5950,52.25
8426,29.75
7003,38.5
9104,47.75
9549,82.0
7064,54.0
7025,45.75
7133,30.75
1954,81.75
9799,40.25
7248,54.33333333
9436,63.0
9908,36.5
7160,57.0
5151,62.75
7058,54.25
7164,52.5
410,55.0
9912,29.0
9631,125.5
6036,75.0
5893,55.5
9811,32.5
9823,33.75
7067,31.0
7396,57.0
7347,39.0
6094,99.0
9660,31.0
7008,70.5
7517,104.5
9433,125.0
7209,33.75
