accession_id,phenotype_value
7106,19.5
7102,59.0
10004,41.33333333
9668,43.75
265,22.0
9549,36.0
9758,26.0
9508,45.0
7248,43.33333333
7002,48.5
9079,47.5
9983,35.0
7092,50.5
9838,31.66666667
7298,36.75
9984,44.33333333
8419,37.5
9111,57.5
9656,42.33333333
7000,36.25
7231,17.0
7316,51.33333333
9712,51.0
8222,49.5
9683,45.75
9532,51.0
7026,25.0
9659,49.0
6097,46.25
6023,60.25
9594,80.0
7372,32.5
9629,32.0
2317,27.0
9612,35.0
10010,50.25
8234,47.66666667
6011,55.0
9637,28.5
9880,56.0
9809,32.0
8326,49.25
9825,41.5
9720,73.5
9796,25.5
6975,25.25
7416,56.33333333
9402,61.5
9979,44.33333333
9613,47.0
7418,20.25
6098,78.66666667
9437,52.5
5830,50.0
9673,44.33333333
9565,50.5
9582,57.25
8283,48.33333333
10013,51.5
10023,59.66666667
8424,40.75
9617,35.75
9630,32.0
7383,14.75
9817,33.25
6195,31.75
9771,23.5
9545,35.0
9805,23.25
1063,38.5
9955,50.75
9658,35.5
9579,54.0
10002,15.75
9084,73.0
5151,54.75
8256,27.0
9899,41.5
9834,50.0
9932,55.0
6140,74.5
7917,56.25
7143,20.0
9831,45.33333333
4807,62.75
9862,32.75
7181,50.66666667
6016,62.0
9091,44.5
9537,29.75
9718,38.66666667
6198,43.5
9911,25.25
7516,69.5
9927,50.5
6149,62.0
9747,70.0
9895,46.0
9455,64.5
7328,32.75
9645,61.25
9651,32.33333333
8369,47.25
7354,71.0
351,37.5
1317,48.33333333
9559,35.33333333
9988,82.0
9876,55.75
6133,59.0
6244,83.0
9926,28.5
9666,53.0
9802,20.5
5349,54.66666667
2276,59.5
7307,45.0
7061,36.0
1925,46.0
9510,34.75
7413,30.5
9789,21.25
9620,43.25
9095,64.33333333
9686,61.75
6107,71.0
9644,48.5
9960,40.66666667
9798,20.33333333
7067,20.25
5832,49.0
9770,23.0
5768,42.66666667
7025,40.0
9892,40.75
9823,19.75
5874,46.75
768,28.0
7130,57.75
5023,23.25
9792,19.5
9621,39.5
7250,11.0
7353,53.0
5726,30.25
9527,55.0
9520,65.0
8264,30.5
9081,63.66666667
9114,65.0
6242,45.33333333
8239,19.5
9085,70.0
9748,50.33333333
9739,45.75
10017,49.25
8335,73.0
7314,15.5
7158,33.0
9898,67.5
9103,62.75
9657,25.0
6413,58.75
9776,18.0
9589,59.0
6680,72.66666667
9914,42.25
9641,41.0
108,33.0
9692,56.0
9909,32.5
6109,80.0
7322,40.0
4779,23.5
9596,39.0
9808,32.75
9697,47.33333333
9738,52.0
9600,16.0
6191,38.25
9529,43.25
9912,16.5
9542,50.25
9601,65.0
7717,48.25
766,14.75
9421,65.25
9970,67.75
9639,35.5
8354,41.5
7164,40.75
9982,44.25
5577,30.0
9784,23.5
9906,52.0
9804,24.5
7947,62.5
9915,61.5
9910,19.75
6137,73.5
7268,17.33333333
9633,36.33333333
6238,60.0
9775,26.5
6128,71.0
9810,18.0
5784,39.75
9774,20.5
9908,26.25
9513,35.33333333
8241,48.0
1061,55.66666667
9405,57.66666667
9745,39.25
7147,31.66666667
8366,18.75
7276,22.25
9632,43.33333333
9755,58.25
9681,68.0
9791,15.66666667
9536,54.0
9587,72.0
9386,65.5
6035,30.75
7028,19.5
6073,48.0
6296,26.25
9611,39.5
6151,65.33333333
9744,40.33333333
9517,9.75
7349,35.75
9762,40.5
6997,42.0
9991,47.0
1002,77.75
6240,45.0
6008,23.25
6744,22.5
8337,52.25
9707,58.0
6424,32.5
